epoch,accuracy,loss,val_accuracy,val_loss
0,0.33031455,1.7771085479955504,0.388548344373703,1.7275505929512711
1,0.42366505,1.526396935501585,0.48397883772850037,1.4092806287049648
2,0.47967535,1.392506422287801,0.46168848872184753,1.4205050871677138
3,0.5015152,1.327710364794938,0.5096126794815063,1.3309425577442437
4,0.51980215,1.2758705954287775,0.5097520351409912,1.32124236504259
5,0.5355115,1.241030762464575,0.5207578539848328,1.3652961634765863
6,0.54829496,1.213500952873448,0.5419337153434753,1.221596976680389
7,0.5498624,1.1948532807614811,0.5325996279716492,1.24793555365196
8,0.5629594,1.1735824022971915,0.5608804821968079,1.1968406657881643
9,0.5670347,1.158169914070078,0.5639454126358032,1.1842935460628192
10,0.5729562,1.1436459307818583,0.5500139594078064,1.1721442999963343
11,0.5776934,1.1292670207269604,0.554611325263977,1.1716431143822594
12,0.57967883,1.1223148608424454,0.5736973881721497,1.146419533898685
13,0.5876903,1.111842579982627,0.57704097032547,1.1881201751187638
14,0.59058136,1.0983616142936659,0.5837280750274658,1.1243346646224666
15,0.5936466,1.0951776107885882,0.5764837265014648,1.1778492936353293
16,0.59800065,1.0839129973572372,0.5915296673774719,1.0966624387727537
17,0.59737366,1.0780794832428162,0.5856784582138062,1.1003283513691737
18,0.60339963,1.0653173846674295,0.5989133715629578,1.079515198639556
19,0.6034693,1.0614412086415828,0.584424614906311,1.1208347812539923
20,0.6057682,1.0590184185587876,0.577458918094635,1.137919061460944
21,0.61074924,1.0482712710820137,0.607550859451294,1.076740540047149
22,0.6114459,1.0381051620211637,0.591668963432312,1.0979984824987599
23,0.6115156,1.0350565522470054,0.5938979983329773,1.0850552950074128
24,0.6153471,1.033119296997691,0.5792700052261353,1.179121143540887
25,0.6179247,1.0240126177494693,0.6053218245506287,1.051102894449938
26,0.62165177,1.0145971533077804,0.6078294515609741,1.069148193614069
27,0.62231356,1.0184461337786166,0.6138200163841248,1.0525987760274647
28,0.619527,1.0155369863809431,0.5870715975761414,1.1084520951324468
29,0.6206416,1.0094111279894173,0.6032320857048035,1.0777621314813912
30,0.6269811,1.000426126421671,0.6028141379356384,1.0671639125737085
31,0.62565744,1.001803534723274,0.5932014584541321,1.1046866067241712
32,0.62544847,1.0001795042760735,0.5937587022781372,1.0998177593815257
33,0.62928003,0.9900495669963761,0.6097798943519592,1.061934794380526
34,0.6310913,0.9888672030886835,0.6110337376594543,1.0497447027406774
35,0.6315789,0.9893119721922731,0.6065756678581238,1.0841862311533281
36,0.6316138,0.9858015919019031,0.6193925738334656,1.0329994203885573
37,0.6338779,0.9842203092689678,0.6120089292526245,1.0737415470263858
38,0.6337386,0.9781070828807362,0.6147952079772949,1.0452073550250875
39,0.63763976,0.9727552307823442,0.61451655626297,1.0624381959039741
40,0.63875437,0.9724666814830818,0.6157703995704651,1.02596599785323
41,0.6391027,0.9698403497786809,0.5901365280151367,1.1405407549877224
42,0.64181966,0.9667620722550517,0.6138200163841248,1.0502383110001081
43,0.640914,0.9626844452048565,0.6124268770217896,1.061257184614674
44,0.63990384,0.9650990632498101,0.6122875213623047,1.0419948438842106
45,0.6427601,0.9596152719507447,0.6186960339546204,1.0359143540699125
46,0.64460623,0.9590591423052839,0.6154918074607849,1.039642387410996
47,0.6427601,0.9521422512026606,0.6163276433944702,1.0504331399584654
48,0.6433871,0.9558982380883414,0.6277514696121216,1.0352435355466798
49,0.64822876,0.948926918940707,0.600724458694458,1.067253366806076
50,0.6478456,0.9453693934254954,0.6125661730766296,1.06127665972238
51,0.64655685,0.9463095631551758,0.6281694173812866,1.0063355893237107
52,0.6480198,0.9426225444117768,0.614934504032135,1.0650859548209204
53,0.64937824,0.9412992947892779,0.6178601384162903,1.0501041203513057
54,0.6515727,0.9376335909982066,0.6255224347114563,1.0304035084863399
55,0.65251315,0.9362018859109483,0.6246865391731262,1.0204526007291699
56,0.65247834,0.9348291085221401,0.6181387305259705,1.05099791314948
57,0.6512592,0.9364918771592828,0.6216216087341309,1.0357480219610224
58,0.65359294,0.9311755216459258,0.6114516854286194,1.0583139113245252
59,0.6523042,0.9317042204258172,0.6203677654266357,1.0440683496566363
60,0.6558222,0.9269394156302424,0.6256617307662964,1.0232534857555564
61,0.6559267,0.9261264790893702,0.6157703995704651,1.041384007097719
62,0.65721554,0.9229390304528491,0.6322095394134521,1.005528898217878
63,0.6578773,0.9190807243164,0.607550859451294,1.0711770199839203
64,0.6594796,0.9184865559184268,0.6161883473396301,1.0327028546717945
65,0.65822566,0.920732295630664,0.6213430166244507,1.0330993416217018
66,0.6574942,0.9184091005451881,0.6256617307662964,1.014221913213682
67,0.6605594,0.9146666173763196,0.6238506436347961,1.030729895433233
68,0.6627887,0.9162184015482694,0.6331847310066223,1.0202290658732913
69,0.6612909,0.9079368536016146,0.622596800327301,1.0256820715264245
